127.0.0.1 - - [20/Oct/2022:19:21:11 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:21:12 +0900] "GET /springPortfolio/ HTTP/1.1" 200 2451
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:21:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:21:27 +0900] "GET /springPortfolio/shopMall/list HTTP/1.1" 200 6510
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:21:28 +0900] "GET /springPortfolio/attach/springPortfolio/product/2c713bb1-cc7e-42f4-8a70-268f4c649a5d.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:21:28 +0900] "GET /springPortfolio/attach/springPortfolio/product/e9a4755d-7d9c-45aa-b6fa-9e07dc82d695.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:21:28 +0900] "GET /springPortfolio/attach/springPortfolio/product/15307b53-69d0-46fb-8348-b70a39a48e93.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:21:28 +0900] "GET /springPortfolio/attach/springPortfolio/product/9f244b8d-63f8-4da5-bcb1-e2642ee42fe2.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:21:28 +0900] "GET /springPortfolio/attach/springPortfolio/product/bb1f1fc4-28a4-42a0-b76d-b7c732ac3941.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:21:33 +0900] "GET /springPortfolio/member/list HTTP/1.1" 200 4825
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:21:35 +0900] "GET /springPortfolio/member/login HTTP/1.1" 200 2883
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:21:41 +0900] "POST /springPortfolio/member/loginProc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:21:41 +0900] "GET /springPortfolio/member/list?title=%EB%A1%9C%EA%B7%B8%EC%9D%B8 HTTP/1.1" 200 4850
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:21:43 +0900] "GET /springPortfolio/shopCart/list HTTP/1.1" 200 3279
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:24:37 +0900] "GET /springPortfolio/shopCart/list HTTP/1.1" 200 3270
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:24:58 +0900] "GET /springPortfolio/shopCart/list HTTP/1.1" 200 3270
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:25:00 +0900] "GET /springPortfolio/shopCart/list HTTP/1.1" 200 3270
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:25:00 +0900] "GET /springPortfolio/shopCart/list HTTP/1.1" 200 3270
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:25:03 +0900] "GET /springPortfolio/shopCart/list HTTP/1.1" 200 3270
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:25:04 +0900] "GET /springPortfolio/shopCart/list HTTP/1.1" 200 3270
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:25:04 +0900] "GET /springPortfolio/shopCart/list HTTP/1.1" 200 3270
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:25:04 +0900] "GET /springPortfolio/shopCart/list HTTP/1.1" 200 3270
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:25:04 +0900] "GET /springPortfolio/shopCart/list HTTP/1.1" 200 3270
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:25:05 +0900] "GET /springPortfolio/shopCart/list HTTP/1.1" 200 3270
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:25:05 +0900] "GET /springPortfolio/shopCart/list HTTP/1.1" 200 3270
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:25:15 +0900] "GET /springPortfolio/shopCart/list HTTP/1.1" 200 3294
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:27:13 +0900] "GET /springPortfolio/shopCart/list HTTP/1.1" 200 3353
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:30:12 +0900] "GET /springPortfolio/shopCart/list HTTP/1.1" 200 3353
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:34:30 +0900] "GET /springPortfolio/shopMall/list HTTP/1.1" 200 6535
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:34:31 +0900] "GET /springPortfolio/shopMall/view?productCode_=6 HTTP/1.1" 200 5722
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:34:41 +0900] "GET /springPortfolio/shopCart/list HTTP/1.1" 200 3591
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:34:42 +0900] "GET /springPortfolio/shopMall/list HTTP/1.1" 200 6535
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:34:43 +0900] "GET /springPortfolio/shopMall/view?productCode_=6 HTTP/1.1" 200 5722
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:36:54 +0900] "GET /springPortfolio/shopMall/view?productCode_=6 HTTP/1.1" 200 5721
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:36:58 +0900] "POST /springPortfolio/shopCart/chugaProc HTTP/1.1" 500 10567
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:38:22 +0900] "POST /springPortfolio/shopCart/chugaProc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:38:22 +0900] "GET /springPortfolio/shopMall/list HTTP/1.1" 200 6535
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:38:24 +0900] "GET /springPortfolio/shopCart/list HTTP/1.1" 200 3591
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:39:04 +0900] "GET /springPortfolio/shopMall/list HTTP/1.1" 200 6535
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:39:05 +0900] "GET /springPortfolio/shopMall/view?productCode_=6 HTTP/1.1" 200 5721
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:39:08 +0900] "POST /springPortfolio/shopCart/chugaProc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:39:08 +0900] "GET /springPortfolio/shopMall/list HTTP/1.1" 200 6535
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:40:53 +0900] "GET /springPortfolio/shopMall/view?productCode_=7 HTTP/1.1" 200 5721
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:42:18 +0900] "GET /springPortfolio/shopMall/view?productCode_=7 HTTP/1.1" 200 5721
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:42:34 +0900] "GET /springPortfolio/shopMall/view?productCode_=7 HTTP/1.1" 200 5719
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:42:36 +0900] "POST /springPortfolio/shopCart/chugaProc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:42:36 +0900] "GET /springPortfolio/shopMall/list HTTP/1.1" 200 6535
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:42:38 +0900] "GET /springPortfolio/shopCart/list HTTP/1.1" 200 4736
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:43:19 +0900] "GET /springPortfolio/shopCart/list HTTP/1.1" 200 4786
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:43:30 +0900] "GET /springPortfolio/shopCart/list HTTP/1.1" 200 4795
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:44:05 +0900] "GET /springPortfolio/shopCart/list HTTP/1.1" 200 4807
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:47:07 +0900] "GET /springPortfolio/shopCart/list HTTP/1.1" 200 5083
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:47:22 +0900] "GET /springPortfolio/shopCart/list HTTP/1.1" 200 4943
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:47:35 +0900] "GET /springPortfolio/shopCart/list HTTP/1.1" 200 4957
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:50:07 +0900] "GET /springPortfolio/shopCart/list HTTP/1.1" 200 5207
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:50:09 +0900] "GET /springPortfolio/shopMall/list HTTP/1.1" 200 6535
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:50:11 +0900] "GET /springPortfolio/shopCart/list HTTP/1.1" 200 5207
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:50:33 +0900] "GET /springPortfolio/shopCart/list HTTP/1.1" 200 5207
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:50:57 +0900] "GET /springPortfolio/shopCart/list HTTP/1.1" 200 5210
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:51:00 +0900] "POST /springPortfolio/shopCart/sakjeProc HTTP/1.1" 500 4792
0:0:0:0:0:0:0:1 - - [20/Oct/2022:19:52:00 +0900] "GET /springPortfolio/shopCart/list HTTP/1.1" 200 5210
